Date,adjclose,low,high,volume,open,com
2020-05-29,8.3,8.3,8.57,99658216.42,8.58,sabancı holding
2020-05-28,8.58,8.54,8.69,66560347.75,8.6,sabancı holding
2020-05-27,8.6,8.55,8.69,64156086.64,8.44,sabancı holding
2020-05-22,8.44,8.36,8.49,40065961.97,8.4,sabancı holding
2020-05-21,8.4,8.32,8.45,39642930.65,8.34,sabancı holding
2020-05-20,8.34,8.31,8.47,87677264.84,8.35,sabancı holding
2020-05-18,8.35,8.25,8.4,74190291.33,8.13,sabancı holding
2020-05-15,8.13,8.07,8.29,60892255.41,8.19,sabancı holding
2020-05-14,8.19,8.08,8.37,61828082.06,8.21,sabancı holding
2020-05-13,8.21,8.17,8.3,42558636.13,8.24,sabancı holding
2020-05-12,8.24,8.12,8.33,110476955.72,8.11,sabancı holding
2020-05-11,8.11,8.02,8.18,90168362.07,8.01,sabancı holding
2020-05-08,8.01,7.94,8.08,56141000.57,7.97,sabancı holding
2020-05-07,7.97,7.94,8.11,53746747.13,8.0,sabancı holding
2020-05-06,8.0,7.87,8.06,54772842.31,7.96,sabancı holding
2020-05-05,7.96,7.88,8.11,61024497.57,8.01,sabancı holding
2020-05-04,8.01,7.93,8.12,62659562.28,8.18,sabancı holding
2020-04-30,8.18,7.92,8.23,109424068.27,8.09,sabancı holding
2020-04-29,8.09,7.95,8.12,66038226.32,7.92,sabancı holding
2020-04-28,7.92,7.92,8.09,68455423.89,8.04,sabancı holding
2020-04-27,8.04,7.97,8.16,91935295.96,7.81,sabancı holding
2020-04-24,7.81,7.56,7.97,120268217.8,7.6,sabancı holding
2020-04-22,7.6,7.6,7.69,66319924.63,7.57,sabancı holding
2020-04-21,7.57,7.56,7.71,89678137.79,7.71,sabancı holding
2020-04-20,7.71,7.7,7.86,74853144.85,7.78,sabancı holding
2020-04-17,7.78,7.74,7.87,63959986.21,7.78,sabancı holding
2020-04-17,7.78,7.74,7.87,63959986.21,7.62,sabancı holding
2020-04-16,7.62,7.5,7.7,82285489.91,7.62,sabancı holding
2020-04-16,7.62,7.5,7.7,82285489.91,7.51,sabancı holding
2020-04-15,7.51,7.51,7.84,105875574.57,7.51,sabancı holding
2020-04-15,7.51,7.51,7.84,105875574.57,7.78,sabancı holding
2020-04-14,7.78,7.65,7.78,128342519.81,7.78,sabancı holding
2020-04-14,7.78,7.65,7.78,128342519.81,7.6,sabancı holding
2020-04-13,7.6,7.54,7.69,88832430.01,7.6,sabancı holding
2020-04-13,7.6,7.54,7.69,88832430.01,7.67,sabancı holding
2020-04-10,7.67,7.57,7.73,92157217.31,7.67,sabancı holding
2020-04-10,7.67,7.57,7.73,92157217.31,7.61,sabancı holding
2020-04-09,7.61,7.47,7.62,149419082.65,7.61,sabancı holding
2020-04-09,7.61,7.47,7.62,149419082.65,7.5,sabancı holding
2020-04-08,7.5,7.49,7.66,72294001.49,7.5,sabancı holding
2020-04-08,7.5,7.49,7.66,72294001.49,7.6,sabancı holding
2020-04-07,7.6,7.6,7.94,91686729.52,7.6,sabancı holding
2020-04-07,7.6,7.6,7.94,91686729.52,7.58,sabancı holding
2020-04-06,7.58,7.43,7.59,63731451.56,7.58,sabancı holding
2020-04-06,7.58,7.43,7.59,63731451.56,7.39,sabancı holding
2020-04-03,7.39,7.31,7.45,46355143.05,7.39,sabancı holding
2020-04-03,7.39,7.31,7.45,46355143.05,7.4,sabancı holding
2020-04-02,7.4,7.13,7.4,56724089.07,7.4,sabancı holding
2020-04-02,7.4,7.13,7.4,56724089.07,7.11,sabancı holding
2020-04-01,7.11,7.02,7.18,63590347.43,7.11,sabancı holding
2020-04-01,7.11,7.02,7.18,63590347.43,7.16,sabancı holding
2020-03-31,7.16,7.07,7.24,85140548.29,7.16,sabancı holding
2020-03-31,7.16,7.07,7.24,85140548.29,7.1,sabancı holding
2020-03-30,7.1,7.05,7.19,40785978.46,7.1,sabancı holding
2020-03-30,7.1,7.05,7.19,40785978.46,7.18,sabancı holding
2020-03-27,7.18,7.17,7.56,38933827.4,7.18,sabancı holding
2020-03-27,7.18,7.17,7.56,38933827.4,7.53,sabancı holding
2020-03-26,7.53,7.27,7.77,83811306.07,7.53,sabancı holding
2020-03-26,7.53,7.27,7.77,83811306.07,7.3,sabancı holding
2020-03-25,7.3,7.23,7.48,74006032.53,7.3,sabancı holding
2020-03-25,7.3,7.23,7.48,74006032.53,7.26,sabancı holding
2020-03-24,7.26,7.06,7.37,67603267.97,7.26,sabancı holding
2020-03-24,7.26,7.06,7.37,67603267.97,6.9,sabancı holding
2020-03-23,6.9,6.79,7.3,40483316.19,6.9,sabancı holding
2020-03-23,6.9,6.79,7.3,40483316.19,7.2,sabancı holding
2020-03-20,7.2,7.2,7.55,78263178.37,7.2,sabancı holding
2020-03-20,7.2,7.2,7.55,78263178.37,7.27,sabancı holding
2020-03-19,7.27,6.86,7.3,86539840.97,7.27,sabancı holding
2020-03-19,7.27,6.86,7.3,86539840.97,7.04,sabancı holding
2020-03-18,7.04,7.04,7.85,69489526.68,7.56,sabancı holding
2020-03-17,7.56,6.82,7.65,70200742.16,7.56,sabancı holding
2020-03-16,7.56,7.56,8.02,74307232.89,8.39,sabancı holding
2020-03-13,8.39,8.17,8.57,130706703.81,8.22,sabancı holding
2020-03-12,8.22,7.95,8.47,105880319.9,8.59,sabancı holding
2020-03-11,8.59,8.41,8.78,100338075.98,8.62,sabancı holding
2020-03-10,8.62,8.62,8.98,109492993.46,8.65,sabancı holding
2020-03-09,8.65,8.34,8.72,104252502.16,8.85,sabancı holding
2020-03-06,8.85,8.67,9.18,72973700.22,9.06,sabancı holding
2020-03-05,9.06,9.06,9.42,97412841.75,9.1,sabancı holding
2020-03-04,9.1,8.74,9.26,149500715.19,8.74,sabancı holding
2020-03-03,8.74,8.61,8.89,107065825.29,8.47,sabancı holding
2020-03-02,8.47,8.25,8.61,171723715.9,8.14,sabancı holding
2020-02-28,8.14,7.99,8.35,126118514.11,8.58,sabancı holding
2020-02-27,8.58,8.57,8.93,115469597.95,8.96,sabancı holding
2020-02-26,8.96,8.74,9.0,93624170.42,8.84,sabancı holding
2020-02-25,8.84,8.8,9.15,127630047.5,8.99,sabancı holding
2020-02-24,8.99,8.83,9.05,103809232.84,9.15,sabancı holding
2020-02-21,9.15,9.12,9.27,75790333.1,9.15,sabancı holding
2020-02-20,9.15,9.11,9.38,169431256.93,9.37,sabancı holding
2020-02-19,9.37,9.27,9.52,104246533.79,9.46,sabancı holding
2020-02-18,9.46,9.43,9.55,68285766.81,9.55,sabancı holding
2020-02-17,9.55,9.5,9.61,74866632.28,9.54,sabancı holding
2020-02-14,9.54,9.49,9.65,98319188.72,9.57,sabancı holding
2020-02-13,9.57,9.52,9.65,138049901.57,9.6,sabancı holding
2020-02-12,9.6,9.59,9.8,213539090.66,9.71,sabancı holding
2020-02-11,9.71,9.45,9.82,159558411.19,9.47,sabancı holding
2020-02-10,9.47,9.41,9.8,184503204.53,9.7,sabancı holding
2020-02-07,9.7,9.68,10.0,101865102.08,9.92,sabancı holding
2020-02-06,9.92,9.88,10.06,128668305.92,9.89,sabancı holding
2020-02-05,9.89,9.72,10.09,327212100.37,9.79,sabancı holding
2020-02-04,9.79,9.4,9.8,242670982.85,9.34,sabancı holding
2020-02-03,9.34,9.23,9.38,97541303.24,9.32,sabancı holding
2020-01-31,9.32,9.32,9.62,114957721.47,9.52,sabancı holding
2020-01-30,9.52,9.35,9.53,102673638.51,9.46,sabancı holding
2020-01-29,9.46,9.43,9.63,65374282.56,9.54,sabancı holding
2020-01-28,9.54,9.52,9.72,75998220.01,9.66,sabancı holding
2020-01-27,9.66,9.65,9.77,60687824.73,9.82,sabancı holding
2020-01-24,9.82,9.67,10.05,117322277.21,9.94,sabancı holding
2020-01-23,9.94,9.9,10.06,102532777.64,9.94,sabancı holding
2020-01-22,9.94,9.9,10.07,100228924.63,10.03,sabancı holding
2020-01-21,10.03,9.89,10.08,134999172.91,9.99,sabancı holding
2020-01-20,9.99,9.93,10.13,177638908.04,10.08,sabancı holding
2020-01-17,10.08,9.97,10.14,143551710.6,10.06,sabancı holding
2020-01-16,10.06,9.97,10.11,255374961.23,9.98,sabancı holding
2020-01-15,9.98,9.97,10.29,254643511.24,9.9,sabancı holding
2020-01-14,9.9,9.85,9.99,126621373.3,9.89,sabancı holding
2020-01-13,9.89,9.83,9.98,101583595.99,9.83,sabancı holding
2020-01-10,9.83,9.63,9.94,93022123.1,9.68,sabancı holding
2020-01-09,9.68,9.33,9.72,106750378.04,9.17,sabancı holding
2020-01-08,9.17,8.99,9.22,60123521.17,9.05,sabancı holding
2020-01-07,9.05,9.0,9.13,44129341.83,9.01,sabancı holding
2020-01-06,9.01,8.94,9.18,57273660.1,9.21,sabancı holding
2020-01-03,9.21,9.2,9.45,69198756.27,9.46,sabancı holding
2020-01-02,9.46,9.1,9.46,100098203.43,9.12,sabancı holding
2019-12-31,9.12,9.11,9.22,39131571.94,9.2,sabancı holding
2019-12-30,9.2,9.08,9.2,45754700.05,9.04,sabancı holding
2019-12-27,9.04,9.04,9.16,31164431.34,9.1,sabancı holding
2019-12-26,9.1,9.09,9.22,37358861.13,9.11,sabancı holding
2019-12-25,9.11,9.03,9.11,24750781.48,9.04,sabancı holding
2019-12-24,9.04,8.98,9.09,66309994.65,8.95,sabancı holding
2019-12-23,8.95,8.87,8.98,57474855.86,8.88,sabancı holding
2019-12-20,8.88,8.85,8.98,98596175.9,8.93,sabancı holding
2019-12-19,8.93,8.92,9.13,83480707.57,9.1,sabancı holding
2019-12-18,9.1,9.05,9.16,50845883.54,9.17,sabancı holding
2019-12-17,9.17,9.14,9.32,66535953.53,9.28,sabancı holding
2019-12-16,9.28,9.05,9.28,84921546.55,9.06,sabancı holding
2019-12-13,9.06,9.03,9.29,122301802.56,9.12,sabancı holding
2019-12-12,9.12,8.94,9.12,121068401.0,8.89,sabancı holding
2019-12-11,8.89,8.81,8.96,76943659.21,8.87,sabancı holding
2019-12-10,8.87,8.87,9.07,77484438.45,9.01,sabancı holding
2019-12-09,9.01,8.87,9.01,106981773.05,8.91,sabancı holding
2019-12-06,8.91,8.76,8.91,87681291.93,8.76,sabancı holding
2019-12-05,8.76,8.73,8.8,67084574.56,8.71,sabancı holding
2019-12-04,8.71,8.62,8.77,75009688.46,8.66,sabancı holding
2019-12-03,8.66,8.64,8.83,99201947.63,8.71,sabancı holding
2019-12-02,8.71,8.67,8.78,88599216.61,8.7,sabancı holding
2019-11-29,8.7,8.66,8.9,93922440.85,8.77,sabancı holding
2019-11-28,8.77,8.65,8.77,41083260.38,8.68,sabancı holding
2019-11-27,8.68,8.62,8.75,67425583.4,8.71,sabancı holding
2019-11-26,8.71,8.52,8.75,111390837.09,8.6,sabancı holding
2019-11-25,8.6,8.57,8.95,120824292.51,8.84,sabancı holding
2019-11-22,8.84,8.68,8.92,67035300.13,8.82,sabancı holding
2019-11-21,8.82,8.71,8.82,63487904.05,8.74,sabancı holding
2019-11-20,8.74,8.72,8.92,93203921.17,8.79,sabancı holding
2019-11-19,8.79,8.72,8.87,79863917.15,8.77,sabancı holding
2019-11-18,8.77,8.71,8.83,115873733.98,8.67,sabancı holding
2019-11-15,8.67,8.37,8.7,121450112.67,8.35,sabancı holding
2019-11-14,8.35,8.26,8.45,141890188.48,8.28,sabancı holding
2019-11-13,8.28,8.18,8.55,223687633.77,8.49,sabancı holding
2019-11-12,8.49,8.29,8.5,133600550.64,8.27,sabancı holding
2019-11-11,8.27,8.17,8.32,125841049.78,8.27,sabancı holding
2019-11-11,8.27,8.17,8.32,125841049.78,8.22,sabancı holding
2019-11-08,8.22,8.19,8.28,152050079.43,8.22,sabancı holding
2019-11-08,8.22,8.19,8.28,152050079.43,8.24,sabancı holding
2019-11-07,8.24,8.1,8.24,212622720.92,8.24,sabancı holding
2019-11-07,8.24,8.1,8.24,212622720.92,8.05,sabancı holding
2019-11-06,8.05,8.0,8.1,118626901.81,8.05,sabancı holding
2019-11-06,8.05,8.0,8.1,118626901.81,8.01,sabancı holding
2019-11-05,8.01,7.99,8.04,92347037.5,8.01,sabancı holding
2019-11-04,8.01,8.0,8.07,111885497.53,8.01,sabancı holding
2019-11-04,8.01,8.0,8.07,111885497.53,7.98,sabancı holding
2019-11-01,7.98,7.85,8.01,97217869.46,7.98,sabancı holding
2019-11-01,7.98,7.85,8.01,97217869.46,7.91,sabancı holding
2019-10-31,7.91,7.89,8.09,110244702.21,7.91,sabancı holding
2019-10-31,7.91,7.89,8.09,110244702.21,8.04,sabancı holding
2019-10-30,8.04,8.04,8.31,128691382.47,8.04,sabancı holding
2019-10-30,8.04,8.04,8.31,128691382.47,8.37,sabancı holding
2019-10-28,8.37,8.36,8.44,26170139.15,8.37,sabancı holding
2019-10-28,8.37,8.36,8.44,26170139.15,8.36,sabancı holding
2019-10-25,8.36,8.33,8.4,55201232.48,8.36,sabancı holding
2019-10-25,8.36,8.33,8.4,55201232.48,8.35,sabancı holding
2019-10-24,8.35,8.33,8.48,88011781.89,8.35,sabancı holding
2019-10-24,8.35,8.33,8.48,88011781.89,8.33,sabancı holding
2019-10-23,8.33,8.24,8.38,87219264.88,8.33,sabancı holding
2019-10-23,8.33,8.24,8.38,87219264.88,8.21,sabancı holding
2019-10-22,8.21,8.1,8.28,92268136.3,8.21,sabancı holding
